"Period","Stratum","Season","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Before Warming","BOF","Fall","Year",0.121581922202807,0.0622133249271865,1.95427462436873,0.0709418341563378,-0.0118523889121272,0.255016233317742
"Before Warming","BOF","Spring","Year",0.210789574124086,0.0958501826639741,2.19915672840248,0.0451716358201635,0.00521137831190421,0.416367769936267
"Before Warming","BOF","Summer","Year",0.097568110359372,0.10564529729428,0.923544283164746,0.371367814476268,-0.129018516918518,0.324154737637262
"Before Warming","Browns","Fall","Year",-0.830822920136778,0.16868871463768,-4.92518377368201,0.000223543844408679,-1.19262422969364,-0.469021610579916
"Before Warming","Browns","Spring","Year",-1.05806019230522,0.167246588010256,-6.32634844688335,1.87088151826036e-05,-1.4167684478693,-0.699351936741153
"Before Warming","Browns","Summer","Year",-1.25033396362407,0.407337534217643,-3.06952799237009,0.00832095602548728,-2.12398608450333,-0.376681842744803
"Before Warming","CapeBreton","Fall","Year",-1.49544916348962,0.137066605919424,-10.9103829737255,3.14218201493365e-08,-1.78942779522368,-1.20147053175557
"Before Warming","CapeBreton","Spring","Year",-2.38659115017203,0.405905488993102,-5.87967202929989,4.00686503192361e-05,-3.2571718395172,-1.51601046082686
"Before Warming","CapeBreton","Summer","Year",-1.78420409373633,0.384916849046893,-4.63529746269684,0.000385697903289519,-2.60976862752737,-0.958639559945284
"Before Warming","CapeCod","Fall","Year",-0.300833984061911,0.0645692089759934,-4.65909353440832,0.000368670471736988,-0.439321163923004,-0.162346804200817
"Before Warming","CapeCod","Spring","Year",-0.258792351575781,0.163093757550744,-1.58677042863067,0.134886728071218,-0.60859367165311,0.0910089685015482
"Before Warming","CapeCod","Summer","Year",-0.415868105861212,0.0391591295665517,-10.6199527534042,4.41246398385313e-08,-0.499856085666001,-0.331880126056424
"Before Warming","EGOM","Fall","Year",-0.125893249967719,0.131593158525597,-0.956685373147501,0.354955817323468,-0.408132504594475,0.156346004659038
"Before Warming","EGOM","Spring","Year",0.16053534574021,0.10003725717498,1.60475557081107,0.130861541993327,-0.0540232317444979,0.375093923224917
"Before Warming","EGOM","Summer","Year",-0.0242448723381178,0.0515553529922185,-0.470268768051636,0.645405086105917,-0.134820107126731,0.0863303624504957
"Before Warming","GBTail","Fall","Year",-3.03161949696799,1.43739454184993,-2.10910742228525,0.0534247781723075,-6.11452417561342,0.0512851816774411
"Before Warming","GBTail","Spring","Year",-2.2408756470445,0.790340823402512,-2.8353282288991,0.0132271037519386,-3.9359881239962,-0.545763170092797
"Before Warming","GBTail","Summer","Year",-1.50138430245735,1.72526873255976,-0.870232140722663,0.398849340048018,-5.20171771313234,2.19894910821764
"Before Warming","Georges","Fall","Year",0.134165241319353,0.164544549233372,0.815373355996545,0.428512863565761,-0.218747717445818,0.487078200084524
"Before Warming","Georges","Spring","Year",0.748943571938305,0.232245689330086,3.22478998038086,0.00611164459865554,0.250826109136844,1.24706103473977
"Before Warming","Georges","Summer","Year",0.258725628335433,0.225047392658803,1.14964952616754,0.269549456934055,-0.223953023589779,0.741404280260645
"Before Warming","GrandBanks","Fall","Year",-11.6485788310317,1.39335897525577,-8.36007018858394,8.1728779536889e-07,-14.637036612651,-8.66012104941229
"Before Warming","GrandBanks","Spring","Year",-7.18462587276111,2.4285631781595,-2.95838540968328,0.0103722800908155,-12.393375848045,-1.97587589747726
"Before Warming","GrandBanks","Summer","Year",-3.97242259192529,1.65508664581339,-2.40012968624555,0.0308612623535997,-7.52223039721638,-0.422614786634203
"Before Warming","Gully","Fall","Year",0.27500853301704,1.68271536744421,0.163431402801495,0.872514563083328,-3.33405698663201,3.88407405266609
"Before Warming","Gully","Spring","Year",-7.65299681654557,4.76234757047335,-1.60697989873614,0.130370972900876,-17.8672164889345,2.56122285584337
"Before Warming","Gully","Summer","Year",10.3829328382808,3.80270447108527,2.73040750792752,0.0162582602606107,2.22694291061156,18.5389227659499
"Before Warming","HaliChan","Fall","Year",-0.712104743346511,0.699608365471408,-1.01786196176583,0.326011980744072,-2.21261545236552,0.788405965672499
"Before Warming","HaliChan","Spring","Year",2.41129099133223,1.0716448052647,2.25008415053776,0.0410473869271279,0.112841478824235,4.70974050384023
"Before Warming","HaliChan","Summer","Year",-0.397950093227274,0.237152311941329,-1.67803590009161,0.115513498141878,-0.906591214887968,0.11069102843342
"Before Warming","Nantucket","Fall","Year",0.48367344722529,0.120555418518056,4.01204237164046,0.00128534235193878,0.225107790431404,0.742239104019176
"Before Warming","Nantucket","Spring","Year",0.920169320503447,0.251147870101276,3.66385476465473,0.00255376445380596,0.38151071201132,1.45882792899557
"Before Warming","Nantucket","Summer","Year",0.445834975228671,0.0567813406390146,7.85178669984302,1.70134481898875e-06,0.324051111703986,0.567618838753356
"Before Warming","Sable","Fall","Year",2.17948021406108,0.750996776304761,2.90211660399542,0.0115934573844134,0.568752325573446,3.79020810254872
"Before Warming","Sable","Spring","Year",0.115109560163333,3.89860750106618,0.0295258140584435,0.976862009666242,-8.24657190953991,8.47679102986658
"Before Warming","Sable","Summer","Year",7.03927711559376,1.89951281906214,3.70583290881359,0.00235002592361328,2.96522730774006,11.1133269234474
"During Warming","BOF","Fall","Year",-0.412779364324422,0.112892732371938,-3.65638562954145,0.00212979407913579,-0.65210126592326,-0.173457462725585
"During Warming","BOF","Spring","Year",-0.355315765456138,0.126408136249059,-2.81086151571817,0.0125567481341463,-0.6232890433552,-0.0873424875570765
"During Warming","BOF","Summer","Year",-0.263942029771896,0.155181494969358,-1.70086020774587,0.108319704283247,-0.592912103298514,0.0650280437547211
"During Warming","Browns","Fall","Year",-0.907375784456846,0.169595988545262,-5.35021961450864,6.50427509104001e-05,-1.26690321930061,-0.547848349613077
"During Warming","Browns","Spring","Year",-0.79096852645559,0.284766561689351,-2.77760324724659,0.0134481001225236,-1.39464666962186,-0.187290383289317
"During Warming","Browns","Summer","Year",-1.2525534982133,0.492080113018778,-2.54542596840426,0.021602063112288,-2.2957167374432,-0.209390258983398
"During Warming","CapeBreton","Fall","Year",-1.26490567898243,0.245580070297057,-5.15068538522845,9.66967933811084e-05,-1.78551217138829,-0.744299186576569
"During Warming","CapeBreton","Spring","Year",-1.6464622746407,0.320331107382199,-5.13987632389459,9.88099715463868e-05,-2.32553388668564,-0.967390662595763
"During Warming","CapeBreton","Summer","Year",-2.3006392108393,0.525365796489089,-4.37911875157081,0.000467066276526056,-3.41436494684612,-1.18691347483249
"During Warming","CapeCod","Fall","Year",-0.0202996556178059,0.113595923328615,-0.178700564447919,0.860416005366654,-0.261112255452068,0.220512944216456
"During Warming","CapeCod","Spring","Year",-0.22563036875849,0.128486875253973,-1.75605771649827,0.0981991044924883,-0.498010376489768,0.0467496389727878
"During Warming","CapeCod","Summer","Year",-0.0486901565678324,0.0337310740361949,-1.44348076540895,0.168179242605276,-0.120196839165586,0.0228165260299216
"During Warming","EGOM","Fall","Year",-0.155582733138752,0.0915888708007333,-1.69870784276015,0.108732054639553,-0.349742465698917,0.0385769994214137
"During Warming","EGOM","Spring","Year",-0.0714248489850565,0.170132031481547,-0.419820114784226,0.680200046532403,-0.432088644090064,0.289238946119951
"During Warming","EGOM","Summer","Year",-0.11358332363593,0.0656204900497409,-1.7309124566097,0.102702464823893,-0.252692548229871,0.0255259009580119
"During Warming","GBTail","Fall","Year",-1.01883631369672,0.959853731272219,-1.06144955267958,0.304245743765765,-3.05363532509799,1.01596269770455
"During Warming","GBTail","Spring","Year",-0.880462517888693,1.59077377522614,-0.553480659287038,0.587586012016637,-4.25275227385278,2.49182723807539
"During Warming","GBTail","Summer","Year",-4.24133411880174,1.22594937693893,-3.45963234582486,0.00322726517704557,-6.84023069955156,-1.64243753805192
"During Warming","Georges","Fall","Year",-0.329130408875255,0.151105403708667,-2.17815115010594,0.0446978139165735,-0.649459554938224,-0.00880126281228555
"During Warming","Georges","Spring","Year",-0.864516950704568,0.21585943653359,-4.00499957095942,0.00102123459875914,-1.32211851409904,-0.406915387310098
"During Warming","Georges","Summer","Year",-0.423005438372429,0.22060625537159,-1.9174680140412,0.0732096545580432,-0.890669808176021,0.0446589314311623
"During Warming","GrandBanks","Fall","Year",-2.85535990167263,1.77883404544288,-1.60518622239532,0.12800660965177,-6.62631962104216,0.915599817696904
"During Warming","GrandBanks","Spring","Year",0.177678049482708,1.43037239985461,0.124218035457597,0.902689830549731,-2.85457598082891,3.20993207979432
"During Warming","GrandBanks","Summer","Year",-4.53889078536172,2.12789351750277,-2.13304413403563,0.0487557856997978,-9.04982352929439,-0.0279580414290441
"During Warming","Gully","Fall","Year",-7.310939243865,1.75868460995422,-4.15704965090659,0.000742294681915124,-11.0391840681658,-3.58269441956417
"During Warming","Gully","Spring","Year",-7.10084989426877,1.91384680380693,-3.71024989050541,0.0019007750001916,-11.1580238755567,-3.04367591298081
"During Warming","Gully","Summer","Year",-9.42430212011573,3.37751481938744,-2.79030666749967,0.0131006389382756,-16.5843136839335,-2.26429055629798
"During Warming","HaliChan","Fall","Year",0.270226426121446,0.519399593885346,0.52026691838557,0.610001776067459,-0.830851525369467,1.37130437761236
"During Warming","HaliChan","Spring","Year",-2.80828280821374,0.710128417586075,-3.95461262874098,0.00113540810414876,-4.31368780378206,-1.30287781264541
"During Warming","HaliChan","Summer","Year",0.280270978818132,0.433882668183622,0.645960300722405,0.527461913521487,-0.639519188704586,1.20006114634085
"During Warming","Nantucket","Fall","Year",0.366243166353226,0.221674711914608,1.6521648463642,0.117986807294768,-0.103686230137897,0.836172562844349
"During Warming","Nantucket","Spring","Year",-0.435269666487114,0.212208110487237,-2.05114529076066,0.0569990898086506,-0.885130764446738,0.0145914314725087
"During Warming","Nantucket","Summer","Year",-0.0213943807253065,0.0632982224442043,-0.337993389058676,0.739762297231648,-0.155580617916061,0.112791856465448
"During Warming","Sable","Fall","Year",-2.43908690405295,0.963866683783301,-2.53052309524717,0.0222620746140459,-4.48239299474799,-0.395780813357911
"During Warming","Sable","Spring","Year",-3.79919806058695,1.21653211293776,-3.12297391921074,0.00655650953135483,-6.37813093347653,-1.22026518769737
"During Warming","Sable","Summer","Year",-2.83591727986658,2.70461122093076,-1.04854895887426,0.30996726526803,-8.56943693945096,2.89760237971781
